,Name,PID
459,Felix Hernandez,hernafe02
460,Kelvin Herrera,herreke01
461,Odubel Herrera,herreod01
462,Jason Heyward,heywaja01
463,Aaron Hicks,hicksaa01
464,Rich Hill,hillri01
465,Derek Holland,hollade01
466,Greg Holland,hollagr01
467,Brock Holt,holtbr01
468,J.J. Hoover,hoovejj01
469,Eric Hosmer,hosmeer01
470,Daniel Hudson,hudsoda01
471,Jared Hughes,hugheja02
472,Nick Hundley,hundlni01
473,Tommy Hunter,hunteto02
474,Cole Hamels,hamelco01
475,Billy Hamilton,hamilbi02
476,Jason Hammel,hammeja01
477,Brad Hand,handbr01
478,J.A. Happ,happja01
479,Bryce Harper,harpebr03
480,Will Harris,harriwi10
481,Josh Harrison,harrijo05
482,Matt Harvey,harvema01
483,Adeiny Hechavarria,hechaad01
484,Jeremy Hellickson,hellije01
485,Kyle Hendricks,hendrky01
486,Cesar Hernandez,hernace02
487,David Hernandez,hernada01
488,Enrique Hernandez,hernaen02
489,Felix Hernandez,hernafe02
490,Kelvin Herrera,herreke01
491,Odubel Herrera,herreod01
492,Jason Heyward,heywaja01
493,Aaron Hicks,hicksaa01
494,Rich Hill,hillri01
495,Derek Holland,hollade01
496,Greg Holland,hollagr01
497,Brock Holt,holtbr01
498,J.J. Hoover,hoovejj01
499,Eric Hosmer,hosmeer01
500,Daniel Hudson,hudsoda01
501,Jared Hughes,hugheja02
502,Nick Hundley,hundlni01
503,Tommy Hunter,hunteto02
504,Cole Hamels,hamelco01
505,Billy Hamilton,hamilbi02
506,Jason Hammel,hammeja01
507,Brad Hand,handbr01
508,J.A. Happ,happja01
509,Bryce Harper,harpebr03
510,Will Harris,harriwi10
511,Josh Harrison,harrijo05
512,Matt Harvey,harvema01
513,Adeiny Hechavarria,hechaad01
514,Jeremy Hellickson,hellije01
515,Kyle Hendricks,hendrky01
516,Cesar Hernandez,hernace02
517,David Hernandez,hernada01
518,Enrique Hernandez,hernaen02
519,Felix Hernandez,hernafe02
520,Kelvin Herrera,herreke01
521,Odubel Herrera,herreod01
522,Jason Heyward,heywaja01
523,Aaron Hicks,hicksaa01
524,Rich Hill,hillri01
525,Derek Holland,hollade01
526,Greg Holland,hollagr01
527,Brock Holt,holtbr01
528,J.J. Hoover,hoovejj01
529,Eric Hosmer,hosmeer01
530,Daniel Hudson,hudsoda01
531,Jared Hughes,hugheja02
